"gene_symbol","present_in_gpl14951_symbol_or_ilmn_gene"
"AP3S1",TRUE
"AP3S2",TRUE
"AP4B1",TRUE
"AP4E1",TRUE
"AP4M1",TRUE
"AP4S1",TRUE
"APAF1",TRUE
"APBA1",TRUE
"APBA2",TRUE
"APBA2BP",TRUE
"APBA3",TRUE
"APBB1",TRUE
"APBB1IP",TRUE
"APBB2",TRUE
"APBB3",TRUE
"APC",TRUE
"APC2",TRUE
"APCDD1",TRUE
"APCDD1L",TRUE
"APCS",TRUE
"APEH",TRUE
"APEX1",TRUE
"APEX2",TRUE
"APH1A",TRUE
"APH1B",TRUE
"API5",TRUE
"APIP",TRUE
"APITD1",TRUE
"APLF",TRUE
"APLN",TRUE
"APLNR",TRUE
"APLP1",TRUE
"APLP2",TRUE
"APOA1",TRUE
"APOA1BP",TRUE
"APOA2",TRUE
"APOA4",TRUE
"APOA5",TRUE
"APOB",TRUE
"APOB48R",TRUE
"APOBEC1",TRUE
"APOBEC2",TRUE
"APOBEC3A",TRUE
"APOBEC3B",TRUE
"APOBEC3C",TRUE
"APOBEC3D",TRUE
"APOBEC3F",TRUE
"APOBEC3G",TRUE
"APOBEC3H",TRUE
"APOBEC4",TRUE
"APOC1",TRUE
"APOC2",TRUE
"APOC3",TRUE
"APOC4",TRUE
"APOD",TRUE
"APOE",TRUE
"APOF",TRUE
"APOH",TRUE
"APOL1",TRUE
"APOL2",TRUE
"APOL3",TRUE
"APOL4",TRUE
"APOL5",TRUE
"APOL6",TRUE
"APOLD1",TRUE
"APOM",TRUE
"APOO",TRUE
"APOOL",TRUE
"APP",TRUE
"APPBP2",TRUE
"APPL1",TRUE
"APPL2",TRUE
"APRT",TRUE
"APTX",TRUE
"AQP1",TRUE
"AQP10",TRUE
"AQP11",TRUE
"AQP12A",TRUE
"AQP12B",TRUE
"AQP2",TRUE
"AQP3",TRUE
"AQP4",TRUE
"AQP5",TRUE
"AQP6",TRUE
"AQP7",TRUE
"AQP7P1",TRUE
"AQP7P2",TRUE
"AQP8",TRUE
"AQP9",TRUE
"AQR",TRUE
"AR",TRUE
"ARAF",TRUE
"ARAP1",TRUE
"ARAP2",TRUE
"ARAP3",TRUE
"ARC",TRUE
"ARCN1",TRUE
"ARD1A",TRUE
"ARD1B",TRUE
"AREG",TRUE
"ARF1",TRUE
"ARF3",TRUE
"ARF4",TRUE
"ARF5",TRUE
"ARF6",TRUE
"ARFGAP1",TRUE
"ARFGAP2",TRUE
"ARFGAP3",TRUE
"ARFGEF1",TRUE
"ARFGEF2",TRUE
"ARFIP1",TRUE
"ARFIP2",TRUE
"ARFRP1",TRUE
"ARG1",TRUE
"ARG2",TRUE
"ARGFX",TRUE
"ARGFXP2",TRUE
"ARGLU1",TRUE
"ARHGAP1",TRUE
"ARHGAP10",TRUE
"ARHGAP11A",TRUE
"ARHGAP11B",TRUE
"ARHGAP12",TRUE
"ARHGAP15",TRUE
"ARHGAP17",TRUE
"ARHGAP18",TRUE
"ARHGAP19",TRUE
"ARHGAP20",TRUE
"ARHGAP21",TRUE
"ARHGAP22",TRUE
"ARHGAP24",TRUE
"ARHGAP25",TRUE
"ARHGAP26",TRUE
"ARHGAP27",TRUE
"ARHGAP28",TRUE
"ARHGAP29",TRUE
"ARHGAP30",TRUE
"ARHGAP4",TRUE
"ARHGAP5",TRUE
"ARHGAP6",TRUE
"ARHGAP8",TRUE
"ARHGAP9",TRUE
"ARHGDIA",TRUE
"ARHGDIB",TRUE
"ARHGDIG",TRUE
"ARHGEF1",TRUE
"ARHGEF10",TRUE
"ARHGEF10L",TRUE
"ARHGEF11",TRUE
"ARHGEF12",TRUE
"ARHGEF15",TRUE
"ARHGEF16",TRUE
"ARHGEF17",TRUE
"ARHGEF18",TRUE
"ARHGEF19",TRUE
"ARHGEF2",TRUE
"ARHGEF3",TRUE
"ARHGEF4",TRUE
"ARHGEF5",TRUE
"ARHGEF5L",TRUE
"ARHGEF6",TRUE
"ARHGEF7",TRUE
"ARHGEF9",TRUE
"ARID1A",TRUE
"ARID1B",TRUE
"ARID2",TRUE
"ARID3A",TRUE
"ARID3C",TRUE
"ARID4A",TRUE
"ARID4B",TRUE
"ARID5A",TRUE
"ARID5B",TRUE
"ARIH1",TRUE
"ARIH2",TRUE
"ARL1",TRUE
"ARL10",TRUE
"ARL11",TRUE
"ARL13A",TRUE
"ARL13B",TRUE
"ARL14",TRUE
"ARL15",TRUE
"ARL16",TRUE
"ARL17B",TRUE
"ARL17P1",TRUE
"ARL2",TRUE
"ARL2BP",TRUE
"ARL3",TRUE
"ARL4A",TRUE
"ARL4C",TRUE
"ARL4D",TRUE
"ARL5A",TRUE
"ARL5B",TRUE
"ARL6",TRUE
"ARL6IP1",TRUE
"ARL6IP4",TRUE
